

题目：以下关于班次时长与工作时长的说法正确的是    正确答案：班次时长是固定值，工作时长是护士实际工作时长
题目：在新生儿身份识别管理中双生婴儿的腕带临时命名规范是    正确答案：母亲姓名+婴+性别+英文字母(A或B)+出生日期
题目：关于医院集中空调通风系统的卫生学评价要求以下哪项描述最准确    正确答案：卫生学评价每年不少于1次，抽样比例不少于风管系统总数量的5%
题目：根据器官移植病区医院感染预防与控制标准器官移植病区的保护区设计主要目的是什么    正确答案：防止移植受体免受环境病原微生物感染
题目：关于感染性织物的处理要求下列哪项是错误的    正确答案：允许在开放状态下进行手工分拣操作
题目：根据医疗机构重点部门感染预防与控制通用标准标准下列哪项不属于重点部门医院感染防控工作制度必须包含的内容    正确答案：医务人员绩效考核标准
题目：关于末梢采血器的选择以下哪项描述是错误的    正确答案：28G的末梢采血器预期采血量可达50μL以上
题目：关于新生儿病区布局要求以下哪项是错误的    正确答案：诊疗区必须设置多个隔离室
题目：关于手术部位感染的分类标准以下哪项描述是错误的    正确答案：清洁-污染切口手术不需要预防性使用抗菌药物
题目：根据医院感染暴发控制标准以下哪种情况可判定为医院感染暴发    正确答案：短时间内发生3例以上临床症候群相似、怀疑有共同感染源的感染病例
题目：图中所示正在为病人进行的操作是    正确答案：经鼻插入吸氧管
题目：如图所示护士正在为老年病人进行的操作是    正确答案：清洁灌肠
题目：病人男性20岁诊断为伤寒体温38不宜吃    正确答案：芹菜
题目：病人男性78岁因呼吸系统疾病入院有数颗牙齿缺失宜采用的饮食是    正确答案：软质饮食
题目：病人男性35岁胃溃疡出血大便隐血阳性经对症治疗后出血停止出血期间病人大便呈现的颜色为    正确答案：柏油色
题目：甲状腺摄131测定检查前14天可食用的食物是    正确答案：淡水鱼
题目：病人女性27岁因脑外伤昏迷入院为供给营养和水分给予鼻饲为病人插鼻饲管至15时要将病人头部托起目的是    正确答案：加大咽喉部通道的弧度
题目：病人女性26岁出现肠胀气给予肛管排气后缓解不明显再次进行排气时应间隔    正确答案：2~3 小时
题目：组织损伤破裂的病人局部禁用冷疗的原因是    正确答案：冷疗可减少血液循环,影响愈合
题目：病人男性72岁出现休克护士遵医嘱留置导尿管目的是    正确答案：记录尿量观察病情变化
题目：图片显示静脉注射失败局部可能出现的状况是    正确答案：有回血,局部无隆起
题目：病人男性40岁口腔手术后1天体温39此时适宜给予的饮食是    正确答案：流质饮食
题目：病人女性56岁因突发急性心肌梗死入院急性期适宜给予的饮食是    正确答案：高维生素、低脂肪饮食
题目：病人女性27岁诊断为甲状腺功能亢进症简称甲亢病人常测到的脉搏为    正确答案：洪脉
题目：采集粪便标本做隐血试验前3天应禁食的是    正确答案：动物血、肝脏及肉类
题目：病人男性36岁因食物中毒导致腹泻每日排泄7至10次宜采用的饮食是    正确答案：少渣饮食
题目：病人女性22岁患甲状腺功能亢进症需做甲状腺摄131试验在检查前14天需忌食的是    正确答案：海带
题目：病人男性32岁持续高热2周体温40左右24小时内体温波动范围不超过1该热型为    正确答案：稽留热
题目：肾移植术后20分钟后移植肾由红转紫属于    正确答案：超急性排斥反应
题目：目前常用的器官保存液类型有    正确答案：仿细胞内液型&,仿细胞外液型&,非细胞内液非细胞外液型
题目：肾移植术后4天内病程进展快移植物功能逐渐恶化并最终发生衰竭属于    正确答案：加速血管排斥反应
题目：不会发生排斥反应的移植是    正确答案：断肢再植
题目：根据药物的化学结构来源及作用机制分类抗癌药物包括    正确答案：细胞毒素类药物&,抗代谢类药物&,抗生素类&,分子靶向药物&,生物碱类
题目：患者女性32岁装订厂工作工作不慎被刀切下4个手指经医院救治再植成功3个手指此种移植称为    正确答案：自体移植
题目：肾移植术后排斥反应逆转的判断指标包括    正确答案：体温下降至正常&,尿量增多&,体重稳定&,移植肾肿胀消退、质变软、无压痛&,血肌酐、尿素氮下降
题目：保存液为多用于器官灌洗与保存    正确答案：仿细胞内液型
题目：患儿男6岁诊断为急性淋巴细胞白血病近日急性肺炎入院402咳嗽该患儿不宜使用的降温方法是    正确答案：乙醇拭浴
题目：不属于肾移植术后排异反应表现的是    正确答案：尿量增多
题目：液为由乳酸林格液加清蛋白组成多用于器官切取冷灌洗    正确答案：仿细胞外液型
题目：反映移植肾功能状况及体液平衡的重要指标是    正确答案：尿量
题目：目前应用最广泛的移植方法是    正确答案：同种异体移植
题目：人类白细胞抗原配型按照国际标准的六抗原相配原则进行配型临床主要检测的位点是    正确答案：HLA-A&,HLA-B&,HLA-DR
题目：根据发生时间免疫机制及组织形态学的不同排斥反应分为    正确答案：超急性排斥反应&,急性排斥反应&,加速血管排斥反应&,慢性排斥反应
题目：患者男18岁患急性扁桃体炎医嘱青霉素皮试皮试后5分钟患者出现胸闷气急伴濒危感皮肤瘙痒面色苍白出冷汗脉细速血压下降烦躁不安考虑该患者出现了何种情况根据患者病情应首先采取的紧急措施是    正确答案：立即停药平卧，皮下注射0.1%盐酸肾上腺素
题目：肾移植后常见的感染部位有    正确答案：切口&,肺部&,尿道&,口腔&,皮肤
题目：属于器官移植的是    正确答案：肾移植&,肝移植
题目：不属于用于器官移植的免疫抑制剂的是    正确答案：肾上腺素
题目：目前临床上开展肝移植术式很多但最常用的术式是    正确答案：经典原位肝移植&,(改良)背驮式肝移植&,活体部分肝移植
题目：活体移植以间最佳    正确答案：同卵孪生
题目：按供者和受者的遗传学关系分类器官移植可分为    正确答案：自体移植&,同质移植&,同种异体移植&,异种移植
题目：患者男性37岁肾衰竭多年现找到一个可移植的肾源经组织配型检查可以移植当日手术当移植手术完成后约10分钟肾脏由红变暗出现斑块青紫坏死并寒战发热患者出现的问题是    正确答案：超急性排斥反应
题目：患者男性38岁肾病多年现已肾衰竭多时靠透析度日现其孪生兄弟愿供一肾此种移植称为    正确答案：同质移植
题目：目前临床大多采用的器官保存方法是    正确答案：单纯低温保存法
题目：下列针对排斥反应的是    正确答案：配血型&,组织配型&,应用免疫抑制剂
题目：肾移植术后8天患者发热血压升高情绪异常尿少血肌酐增高尿内有蛋白属于    正确答案：急性排斥反应
题目：器官保存方法主要有    正确答案：单纯低温保存法&,持续低温机械灌流法&,冷冻保存法
题目：带蒂植皮后2天体温375食欲缺乏属于    正确答案：正常手术反应
题目：为延长供体器官的存活时间器官保存应遵循的原则是    正确答案：低温、预防细胞肿胀和避免生化损伤
题目：肝移植的适应证包括    正确答案：肝实质疾病&,肝肿瘤&,静脉回流障碍性疾病&,先天性代谢障碍性疾病&,胆汁淤滞性疾病
题目：长期鼻饲患者更换普通胃管的频率为    正确答案：1周1次
题目：病人男21岁交通事故伤及头部伤后立即昏迷随后清醒约30分钟后再度昏迷最可能的诊断是    正确答案：硬脑膜外血肿
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤针对该患者的情况急救处理措施是    正确答案：密切观察体温、脉搏、血压、呼吸、疼痛、意识、瞳孔&,注意查明有无其他合并伤,如有及时给予急救处理&,紧急处理危及生命的活动性出血&,应用抗菌素和破伤风抗毒素&,积极做好术前准备&,填写手术交接单,医护人员一起护送患者入手术室,并做好与手术室护士的交接
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤患者手术前实施暂停核对的具体内容是    正确答案：核对确认患者身份&,核对确认手术名称&,核对确认手术体位&,核对确认手术部位&,由手术医师、麻醉医师、巡回护士共同确认
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤全身麻醉最危险的阶段和需要护理配合的关键时刻是    正确答案：诱导期&,复苏期
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤颅内压正常值的范围是    正确答案：5~13.5mmHg
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤患者术后转入监护室其颅内压监护的护理要点是    正确答案：密切观察病情变化&,严格执行无菌操作以预防颅内感染的发生&,适当约束以防意外拔管的发生&,仔细观察颅内压(ICP)数值和波形的变化&,避免患者因剧咳、便秘、翻身、吸痰、疼痛等因素干扰ICP的数据&,妥善固定导管,防止导管扭曲受压及滑脱
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤患者行腰大池持续引流的目的是    正确答案：减轻颅内感染&,引流血性脑脊液&,有利于前颅底愈合&,便于留取脑脊液做常规及生化检查
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤患者行腰大池持续引流期间的护理要点有    正确答案：体位有改变时,及时调整引流管滴管口的高度&,引流滴管口高于腰椎管水平3~4c,引流袋置于床下15~20cm&,密切观察引流液性状并每日记录于体温单上&,在搬动或转运的途中应先关闭引流管,以免引起脑脊液的逆流
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤患者在术后出现颅内感染其护理要点有    正确答案：密切观察体温、脉搏、血压、呼吸、疼痛、意识、瞳孔、GCS&,给予冰毯降温&,观察癫痫发生先兆&,严格执行无菌操作
题目：案例5患者女性21岁不慎被燃放的鞭炮炸伤右额及右眼1小时急诊入院查体右额及右眼炸伤右眼毁损伤有短暂昏迷史格拉斯哥昏迷指数量表14分睁眼反应3分肢体运动反应6分言语反应5分诊断为右颅开放性爆炸伤责任护士如何为患者做出院指导    正确答案：患者因意外失去右眼,故情绪波动较大,鼓励家属多陪伴、安慰,保持情绪稳定&,指导患者择期进行整形术,植入义眼&,指导眼部用药方法,告知注意事项&,按医嘱服药,不可随意停药或减量&,鼓励参与社会活动&,饮食应高蛋白,高维生素,易消化,避免辛辣刺激性食物,多吃蔬菜水果&,定期门诊随访
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带判断该患者发生了什么情况    正确答案：脑内血肿
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带此时应给予患者的急救护理措施是    正确答案：密切观察脉搏、呼吸、血压、意识、瞳孔、GCS&,做好患者的皮肤、口腔及泌尿系统等基础护理&,做好皮试备血等急诊术前准备
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带患者入院后病房护士应从哪些方面进行入院评估    正确答案：基本资料、生活状态&,护理体检、疼痛评估&,跌倒/坠床危险因素&,压疮危险因素&,社会心理状态&,营养筛选&,康复功能筛选&,出院计划
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带手术患者进入手术室的安全核查项目有    正确答案：室前核对患者姓名、床号、住院号、手术名称及术前确认事项&,麻醉前,手术医师、麻醉医师、护士共同进行麻醉前确认&,手术开始前实施 Time out(暂停核查)&,缝针、器械清点采用二人三遍法&,脑棉清点采用二人三遍法&,手术结束,患者出手术室之前,手术医师麻醉医师、护士共同确认
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带手术结束后巡回护士应对患者再次进行检查的内容是    正确答案：皮肤完整性&,伤口渗出情况&,引流管固定是否妥当&,患者保暖是否到位&,病历、影像片、药品等是否齐全&,静脉通路是否通畅
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带患者手术顺利术后转入监护室此时应给予的护理措施是    正确答案：心电监护,严密观察患者脉搏、呼吸、血压、意识瞳孔、GCS&,监测骨窗压力,及时了解压力变化&,保持呼吸道通畅,氧气吸入,及时清除口鼻腔分泌物&,建立静脉通路,保证液体按时、按量输入&,做好各引流管的护理注意无菌操作&,做好患者口腔、皮肤、泌尿等基础护理、&,给予心理护理,满足合理需求,告知探望时间
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带该患者发生了什么情况    正确答案：癫痫发作
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带癫痫发作时的主要护理措施是    正确答案：置牙垫预防舌咬伤&,保持呼吸道通畅,清除口腔分泌物&,密切观察生命体征、意识、瞳孔变化&,正确记录癫痫发作的类型持续时间及间歇时间
题目：案例3患者男性65岁患者因走路时跌倒致头部撞伤3小时后出现意识淡漠记忆力下降言语不清喷射性呕吐由家属护送入急诊就诊体检脉搏56次分呼吸16次分血压170100双侧瞳孔不等大左瞳为02光反应右瞳04光反应格拉斯哥昏迷指数量表9分睁眼反应2分肢体运动反应4分言语反应3分左侧肢体偏瘫示右顶不规则高密度团块周围有低密度水肿带该患者遵医嘱服用抗癫痫药物责任护士如何做好用药指导    正确答案：遵医嘱按时按量服用&,不可随意减量加量、停药&,定期测药物血浓度,以指导用药剂量&,如出现药物不良反应如躯体出现皮疹等应及时调整用药&,强直阵挛发作和单纯性部分发作需用药2年然后在医师指导下逐渐减量,不少于6个月,如无癫痫发作才能停药¨
